5,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0
160,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
205,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0
225,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0
235,0.0,0.0,0.0,0.0
240,0.0,0.0,0.0,0.0
245,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
255,0.0,0.0,0.0,0.0
260,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0
270,0.0,0.0,0.0,0.0
275,0.0,0.0,0.0,0.0
280,0.0,0.0,0.0,0.0
285,0.0,0.0,0.0,0.0
290,0.0,0.0,0.0,0.0
295,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0
305,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
315,0.0,0.0,0.0,0.0
320,0.0,0.0,0.0,0.0
325,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
335,0.0,0.0,0.0,0.0
340,0.0,0.0,0.0,0.0
345,0.0,0.0,0.0,0.0
350,0.0,0.0,0.0,0.0
355,0.0,0.0,0.0,0.0
360,0.0,0.0,0.0,0.0
365,0.0,0.0,0.0,0.0
370,0.0,0.0,0.0,0.0
375,0.0,0.0,0.0,0.0
380,0.0,0.0,0.0,0.0
385,0.0,0.0,0.0,0.0
390,0.0,0.0,0.0,0.0
395,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0
405,0.0,0.0,0.0,0.0
410,0.0,0.0,0.0,0.0
415,0.0,0.0,0.0,0.0
420,0.0,0.0,0.0,0.0
425,0.0,0.0,0.0,0.0
430,0.0,0.0,0.0,0.0
435,0.0,0.0,0.0,0.0
440,0.0,0.0,0.0,0.0
445,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0
455,0.0,0.0,0.0,0.0
460,0.0,0.0,0.0,0.0
465,0.0,0.0,0.0,0.0
470,0.0,0.0,0.0,0.0
475,0.0,0.0,0.0,0.0
480,0.0,0.0,0.0,0.0
485,0.01309,0.01379,0.0,0.0
490,0.02645,0.02786,0.0,0.0
495,0.03981,0.04193,0.0,0.0
500,0.05317,0.056,0.0,0.0
505,0.06653,0.07008,0.0,0.0
510,0.07989,0.08415,0.0,0.0
515,0.09325,0.09822,0.0,0.0
520,0.10661,0.11229,0.0,0.0
525,0.11997,0.12636,0.0,0.0
530,0.13333,0.14043,0.0,0.0
535,0.14028,0.1545,0.0,0.0
540,0.14722,0.16857,0.0,0.0
545,0.14107,0.16886,0.01011,0.0
550,0.13466,0.16886,0.02057,0.0
555,0.12824,0.16886,0.03103,0.0
560,0.12183,0.16886,0.04149,0.0
565,0.11541,0.16886,0.05195,0.0
570,0.109,0.16886,0.06241,0.0
575,0.10258,0.16886,0.07287,0.0
580,0.09616,0.16886,0.08333,0.0
585,0.08975,0.16886,0.08542,0.0
590,0.08333,0.16886,0.0875,0.0
595,0.08234,0.16886,0.08958,0.0
600,0.08135,0.16886,0.09167,0.0
605,0.08036,0.16886,0.08364,0.0
610,0.07937,0.16886,0.07526,0.0
615,0.07837,0.16886,0.06688,0.0
620,0.07738,0.16886,0.05851,0.0
625,0.07639,0.16886,0.05175,0.0
630,0.0754,0.16886,0.04499,0.0
635,0.0744,0.16886,0.03824,0.0
640,0.07341,0.16886,0.03148,0.0
645,0.07242,0.16395,0.0331,0.0
650,0.07143,0.15905,0.03472,0.0
655,0.07143,0.15414,0.03634,0.0
660,0.07143,0.14924,0.03796,0.0
665,0.07381,0.14433,0.03958,0.0
