2023.11.21 21:45:16,3786,1585,60-10,0044
2023.11.21 21:45:56,5334,8044,6678,1-144
2023.11.21 21:46:00,3786,1585,6060,68-10
2023.11.21 21:46:04,-1334,1585,0222,-1044
2023.11.21 21:46:08,3786,8044,6678,1-144
2023.11.21 21:46:12,3786,-1-1-10,6060,6-160
2023.11.21 21:46:16,5334,1585,0222,0-144
2023.11.21 21:46:19,3786,8044,6678,1-144
2023.11.21 21:46:23,3786,-10-10,6060,1-144
2023.11.21 21:47:27,3786,8044,0222,1-144
2023.11.21 21:47:31,3786,1585,6678,6860
2023.11.21 21:47:35,5334,1585,6060,-1-144
2023.11.21 21:47:39,3786,8044,6678,6860
2023.11.21 21:47:43,5334,-1-1-10,0222,-1-144
2023.11.21 21:47:46,5334,1585,0222,1-144
2023.11.21 21:47:50,3786,8044,6678,6860
2023.11.21 21:47:54,5334,-10-10,6060,-1044
2023.11.21 21:48:58,5334,8044,6062,1-144
2023.11.21 21:49:02,5334,1585,0222,0044
2023.11.21 21:49:06,3786,8044,6678,0044
2023.11.21 21:49:10,5334,8044,6060,1-144
2023.11.21 21:49:13,3786,1585,0222,8-144
2023.11.21 21:49:17,5334,8044,6678,-1044
2023.11.21 21:49:21,5334,8044,6060,1-144
2023.11.21 21:49:25,5334,1585,0222,6-162
2023.11.21 21:50:15,5334,8044,6678,1-144
2023.11.21 21:50:28,5334,8044,6678,1-144
2023.11.21 21:50:29,-1334,8044,6062,1-184
2023.11.21 21:50:33,3787,1585,0222,-1-144
2023.11.21 21:50:36,3787,8044,6060,-1044
2023.11.21 21:50:40,5334,8044,0222,-1-144
2023.11.21 21:50:41,5334,8044,0222,-1-144
2023.11.21 21:50:44,3787,1585,6678,-1-144
2023.11.21 21:50:48,-1334,1585,6060,1-144
2023.11.21 21:50:52,5334,8044,0222,-1-144
2023.11.21 21:50:53,3787,-10-10,0222,-1-144
2023.11.21 21:50:55,3787,1585,6678,1-144
2023.11.21 21:51:06,3787,-10-10,0222,1-144
2023.11.21 21:51:59,3787,8044,0222,-1044
2023.11.21 21:52:03,-1334,1585,0222,6860
2023.11.21 21:52:07,5334,1585,6678,-1-144
2023.11.21 21:52:11,3787,1585,6062,1-144
2023.11.21 21:52:15,5334,1585,0222,6-1-10
2023.11.21 21:52:18,3787,8044,6678,-1-144
2023.11.21 21:52:22,3787,1585,6060,1-184
2023.11.21 21:52:26,3787,1585,0222,6-160
2023.11.21 21:52:50,5334,1585,6678,68-10
2023.11.22 00:00:41,3797,1585,0222,6-160
2023.11.22 00:00:53,5334,1585,0222,-1044
