5,0.0,0.15,0.0,0.0
10,0.0,0.15,0.0,0.0
15,0.0,0.1,0.0,0.0
20,0.0,0.075,0.0,0.0
25,0.0,0.06,0.0,0.0
30,0.0,0.05,0.0,0.0
35,0.0,0.04286,0.0,0.0
40,0.0,0.0375,0.0,0.0
45,0.0,0.03333,0.0,0.0
50,0.0,0.03,0.0,0.0
55,0.0,0.02727,0.0,0.0
60,0.0,0.025,0.0,0.0
65,0.0,0.0125,0.0,0.0
70,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0
160,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
205,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0
225,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0
235,0.0,0.0,0.0,0.0
240,0.0,0.0,0.0,0.0
245,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
255,0.0,0.0,0.0,0.0
260,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0
270,0.0,0.0,0.0,0.0
275,0.0,0.0,0.0,0.0
280,0.0,0.0,0.0,0.0
285,0.0,0.0,0.0,0.0
290,0.0,0.0,0.0,0.0
295,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0
305,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
315,0.0,0.0,0.0,0.0
320,0.0,0.0,0.0,0.0
325,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
335,0.0,0.0,0.0,0.0
340,0.0,0.0,0.0,0.0
345,0.0,0.0,0.0,0.0
350,0.0,0.0,0.0,0.0
355,0.0,0.0,0.0,0.0
360,0.0,0.0,0.0,0.0
365,0.0,0.0,0.0,0.0
370,0.0,0.0,0.0,0.0
375,0.0,0.0,0.0,0.0
380,0.0,0.0,0.0,0.0
385,0.0,0.0,0.0,0.0
390,0.0,0.0,0.0,0.0
395,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0
405,0.0,0.0,0.0,0.0
410,0.0,0.0,0.0,0.0
415,0.0,0.0,0.0,0.0
420,0.0,0.0,0.0,0.0
425,0.0,0.0,0.0,0.0
430,0.0,0.0,0.0,0.0
435,0.0,0.0,0.0,0.0
440,0.0,0.0,0.0,0.0
445,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0
455,0.0,0.0,0.0,0.0
460,0.0,0.0,0.0,0.0
465,0.0,0.0,0.0,0.0
470,0.0,0.0,0.0,0.0
475,0.0,0.0,0.0,0.0
480,0.0,0.0,0.0,0.0
485,0.0,0.0,0.0,0.0
490,0.0,0.0,0.0,0.0
495,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0
505,0.0,0.0,0.0,0.0
510,0.0,0.0,0.0,0.0
515,0.0,0.0,0.0,0.0
520,0.0,0.0,0.0,0.0
525,0.0,0.0,0.0,0.0
530,0.0,0.0,0.0,0.0
535,0.0,0.0,0.0,0.0
540,0.0,0.0,0.0,0.0
545,0.0,0.0,0.0,0.0
550,0.0,0.0,0.0,0.0
555,0.0,0.0,0.0,0.0
560,0.0,0.0,0.0,0.0
565,0.0,0.00694,0.0,0.0
570,0.0,0.01389,0.0,0.0
575,0.0,0.02083,0.0,0.0
580,0.0,0.02778,0.0,0.0
585,0.0,0.03472,0.0,0.0
590,0.0,0.04167,0.0,0.0
595,0.0,0.04861,0.0,0.0
600,0.0,0.05556,0.0,0.0
605,0.0,0.0625,0.0,0.0
610,0.0,0.06944,0.0,0.0
615,0.0,0.07639,0.0,0.0
620,0.0,0.08333,0.0,0.0
625,0.0,0.08333,0.0,0.0
630,0.0,0.08333,0.0,0.0
635,0.0,0.08333,0.0,0.0
640,0.0,0.08333,0.0,0.0
645,0.0,0.08333,0.0,0.0
650,0.0,0.08333,0.0,0.0
655,0.0,0.08333,0.0,0.0
660,0.0,0.08333,0.0,0.0
665,0.0,0.08333,0.0,0.0
670,0.0,0.08333,0.0,0.0
675,0.0,0.08333,0.0,0.0
680,0.0,0.08333,0.0,0.0
685,0.0,0.07972,0.0,0.0
690,0.0,0.07611,0.0,0.0
695,0.0,0.0725,0.0,0.0
700,0.0,0.06889,0.0,0.0
705,0.0,0.06528,0.0,0.0
710,0.0,0.06167,0.0,0.0
715,0.0,0.05806,0.0,0.0
720,0.0,0.05444,0.0,0.0
725,0.0,0.05083,0.0,0.0
730,0.0,0.04722,0.0,0.0
735,0.0,0.04156,0.0,0.0
740,0.0,0.0359,0.0,0.0
745,0.0,0.03385,0.0,0.0
750,0.0,0.03179,0.0,0.0
755,0.0,0.02974,0.0,0.0
760,0.0,0.02769,0.0,0.0
765,0.0,0.02564,0.0,0.0
770,0.0,0.02359,0.0,0.0
775,0.0,0.02154,0.0,0.0
780,0.0,0.01949,0.0,0.0
785,0.0,0.01744,0.0,0.0
790,0.0,0.01538,0.0,0.0
795,0.0,0.01538,0.0,0.0
800,0.0,0.01538,0.0,0.0
805,0.0,0.01538,0.0,0.0
810,0.0,0.01538,0.0,0.0
815,0.0,0.01538,0.0,0.0
820,0.0,0.01538,0.0,0.0
825,0.0,0.01538,0.0,0.0
830,0.0,0.01538,0.0,0.0
835,0.0,0.01538,0.0,0.0
840,0.0,0.01538,0.0,0.0
845,0.0,0.01538,0.01425,0.0
850,0.0,0.01538,0.0291,0.0
855,0.0,0.01538,0.04395,0.0
860,0.0,0.01538,0.0588,0.0
865,0.0,0.0141,0.07365,0.0
870,0.0,0.01282,0.08849,0.0
875,0.0,0.01154,0.10334,0.0
880,0.0,0.01026,0.11819,0.0
885,0.0,0.00897,0.13304,0.0
890,0.0,0.00769,0.14788,0.0
895,0.0,0.00641,0.16273,0.0
900,0.0,0.00513,0.17758,0.0
905,0.0,0.00385,0.17817,0.0
910,0.0,0.00256,0.17817,0.0
915,0.0,0.00128,0.17817,0.0
920,0.0,0.0,0.17817,0.0
925,0.0,0.0,0.17817,0.0
930,0.0,0.0,0.17817,0.0
935,0.0,0.0,0.17166,0.0
940,0.0,0.0,0.16514,0.0
945,0.0,0.0,0.15863,0.0
950,0.0,0.0,0.15212,0.0
955,0.0,0.0,0.13727,0.0
960,0.0,0.0,0.12242,0.0
965,0.0,0.02361,0.10757,0.0
970,0.0,0.04722,0.09272,0.0
975,0.0,0.07083,0.07788,0.0
980,0.0,0.09444,0.06303,0.0
985,0.0,0.11806,0.04818,0.0
990,0.0,0.14167,0.03333,0.0
995,0.0,0.16528,0.025,0.0
1000,0.0,0.18889,0.01667,0.0
1005,0.0,0.2125,0.00833,0.0
1010,0.0,0.23611,0.0,0.0
1015,0.0,0.25972,0.0,0.0
1020,0.0,0.28333,0.0,0.0
1025,0.0,0.27688,0.0,0.0
1030,0.0,0.27042,0.0,0.0
1035,0.0,0.26397,0.0,0.0
1040,0.0,0.25752,0.0,0.0
